id,Gene_origin,Genomic_location,Class,Metal_biocide_function,,,
BAM0089_oqxA_1,Escherichia coli,"Plasmid p0LA52 (E. coli), Plasmid pGDGK3 (Klebsiella pneumoniae)",Biocide,"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Clorine Dioxide (ClO2) [class: Halogens], Triclosan [class: Phenolic compounds], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine]",,,
BAM0090_oqxB_1,Escherichia coli,"Plasmid pOLA52 (E. coli),",Biocide,"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Clorine Dioxide (ClO2) [class: Halogens], Triclosan [class: Phenolic compounds], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine]",,,
BAM0091_pcoA_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0092_pcoB_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0093_pcoC_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0094_pcoD_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0095_pcoE_1,Escherichia coli,Plasmid pRJ1004,Metal,"Copper (Cu), Silver (Ag)",,,
BAM0096_pcoF_1,Escherichia coli,plasmid pRJ1003,Metal,Copper (Cu),,,
BAM0097_pcoG_1,Escherichia coli,plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0098_pcoR_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0099_pcoS_1,Escherichia coli,Plasmid pRJ1004,Metal,Copper (Cu),,,
BAM0100_pitA_1,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Tellurium (Te)",,,
BAM0101_pstA_1,Escherichia coli,Chromosome,Metal,Arsenic (As),,,
BAM0102_pstB_1,Escherichia coli,Chromosome,Metal,Arsenic (As),,,
BAM0103_pstC_1,Escherichia coli,Chromosome,Metal,Arsenic (As),,,
BAM0104_pstS_1,Escherichia coli,Chromosome,Metal,Arsenic (As),,,
BAM0105_qacA_1,Staphylococcus aureus,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0106_qacA4_1,Staphylococcus epidermidis,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0107_qacB_1,Staphylococcus aureus,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0108_qacC_1,Staphylococcus aureus,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0109_qacD_1,Staphylococcus aureus,Unknown,Biocide,Quaternary Ammonium Compounds,,,
BAM0110_qacE_1,Klebsiella aerogenes,Unknown,Biocide,Quaternary Ammonium Compounds,,,
BAM0111_qacF_1,Cytobacillus firmus,Unknown,Biocide,Quaternary Ammonium Compounds,,,
BAM0112_qacG_1,Staphylococcus haemolyticus,Unknown,Biocide,Quaternary Ammonium Compounds,,,
BAM0113_qacH_1,uncultured bacterium,Unknown,Biocide,Quaternary Ammonium Compounds,,,
BAM0114_qacJ_1,Staphylococcus aureus,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0115_qacZ_1,Enterococcus faecalis,Plasmid,Biocide,Quaternary Ammonium Compounds,,,
BAM0116_robA_1,Escherichia coli,Chromosome,Metal,"Silver (Ag), Mercury (Hg), Cadmium (Cd), Cyclohexane [class: Cycloalkane], Pentane [class: Alkane], n-hexane [class: Alkane], Diphenyl Ether [class: Phenyl]",,,
BAM0117_rpoS_1,"Escherichia coli, Shigella flexneri",Chromosome,Biocide,"Hydrochloric acid (HCl) [class: Acid],  Sodium hydroxide (NaOH) [class: Base]",,,
BAM0118_silA_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0119_silA_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0120_silB_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0121_silB_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0122_silC_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0123_silC_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0124_silE_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0125_silE_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0126_silF_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0127_silF_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0128_silP_1,Salmonella typhimurium,"Plasmid pMG101 (Salmonella typhimurium), Plasmid pLVPK (Klebsiella pneumoniae)",Metal,Silver (Ag),,,
BAM0129_silP_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0130_silR_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0131_silR_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0132_silS_1,Salmonella typhimurium,Plasmid pMG101 (Salmonella typhimurium),Metal,Silver (Ag),,,
BAM0133_silS_2,Escherichia coli,Plasmid,Metal,Silver (Ag),,,
BAM0134_sitA_1,Escherichia coli,"Plasmid pECOS88 (Escherichia coli O45:K1 (strain S88 / ExPEC)), Plasmid pCVM29188_146 (Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188)",Metal,"Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
BAM0135_sitB_1,Escherichia coli,"Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pCS0010A (Salmonella enterica subsp. enterica serovar Kentucky)",Metal,"Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
