id,gene,gene_function,sub_class,class,source_organism
Bquat-g0132_qacC,qacC,quaternary_ammonium_compound_efflux_SMR_transporter_QacC,Quaternary ammonium compound resistance,Biocides,Staphylococcus saprophyticus
Bquat-g0133_qacEdelta1,qacEdelta1,quaternary_ammonium_compound_efflux_SMR_transporter_QacE_delta_1,Quaternary ammonium compound resistance,Biocides,Escherichia coli
Bquat-g0134_qacF,qacF,quaternary_ammonium_compound_efflux_SMR_transporter_QacF,Quaternary ammonium compound resistance,Biocides,Pseudomonas aeruginosa
Bquat-g0135_qacG,qacG,quaternary_ammonium_compound_efflux_SMR_transporter_QacG,Quaternary ammonium compound resistance,Biocides,Staphylococcus aureus
Bquat-g0136_qacH,qacH,quaternary_ammonium_compound_efflux_SMR_transporter_QacH,Quaternary ammonium compound resistance,Biocides,Staphylococcus saprophyticus
Bquat-g0137_qacJ,qacJ,quaternary_ammonium_compound_efflux_SMR_transporter_QacJ,Quaternary ammonium compound resistance,Biocides,Staphylococcus aureus
Bquat-g0138_qacL,qacL,quaternary_ammonium_compound_efflux_SMR_transporter_QacL,Quaternary ammonium compound resistance,Biocides,bacterium
Bquat-g0139_qacZ,qacZ,quaternary_ammonium_compound_efflux_SMR_transporter_QacH,Quaternary ammonium compound resistance,Biocides,Enterococcus faecalis V583
Bquat-g0140_smr_efflux_bcrB,smr_efflux_bcrB,quaternary_ammonium_compound_efflux_SMR_transporter_BcrB,Quaternary ammonium compound resistance,Biocides,Listeria monocytogenes
Bquat-g0141_emeA,emeA,QAC_efflux_pump,Quaternary Ammonium Compounds (QACs) resistance,Biocides,Enterococcus faecalis ATCC 29212
Bquat-g0142_galE,galE,QAC-resistant_protein_UDP_glucose_4_epimerase,Quaternary Ammonium Compounds (QACs) resistance,Biocides,uncultured bacterium
Btolu-g0143_ttgA,ttgA,toluene_efflux_RND_transporter_periplasmic_adaptor_subunit_TtgA,Toluene resistance,Biocides,Pseudomonas putida DOT-T1E
Btrib-g0144_tbtR,tbtR,tribuytltin_resistance_regulator_TbtR,Tribuyltin resistance,Biocides,Stutzerimonas stutzeri
Malum-g0145_alu1P,alu1P,Aluminum_resistance_protein_partial,Aluminum resistance,Metals,Rhizobium viscosum
Malum-g0146_g2aLT,g2aLT,Aluminum_ATPase_,Aluminum resistance,Metals,Anoxybacillus gonensis
Marse-g0147_acr3,acr3,arsenite_efflux_transporter_Acr3,Arsenic resistance,Metals,Campylobacter jejuni
Marse-g0148_acr3,acr3,arsenite_efflux_transporter_Acr3,Arsenic resistance,Metals,Synechocystis sp. IPPAS B-1465
Marse-g0149_acr3,acr3,arsenite_efflux_transporter_Acr3,Arsenic resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Marse-g0150_aioA,aioA,Arsenite_oxidase,Arsenic resistance,Metals,Herminiimonas arsenicoxydans
Marse-g0151_aioA,aioA,Arsenite_oxidase,Arsenic resistance,Metals,Herminiimonas arsenicoxydans
Marse-g0152_aioB,aioB,Arsenite_oxidase,Arsenic resistance,Metals,Herminiimonas arsenicoxydans
Marse-g0153_aioE,aioE,Arsenite_oxidase,Arsenic resistance,Metals,Agrobacterium tumefaciens GW4
Marse-g0154_aioR,aioR,Arsenite_oxidase_regulator,Arsenic resistance,Metals,Agrobacterium tumefaciens
Marse-g0155_aioS,aioS,Arsenite_oxidase_regulator,Arsenic resistance,Metals,Agrobacterium tumefaciens
Marse-g0156_aioX,aioX,Arsenite_oxidase_regulator,Arsenic resistance,Metals,Agrobacterium tumefaciens
Marse-g0157_arrA,arrA,Arsenic_resistance_protein,Arsenic resistance,Metals,Shewanella sp. ANA-3
Marse-g0158_arrA,arrA,Arsenic_resistance_protein,Arsenic resistance,Metals,Shewanella putrefaciens
Marse-g0159_arrB,arrB,Arsenic_resistance_protein,Arsenic resistance,Metals,Shewanella sp. ANA-3
Marse-g0160_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Marse-g0161_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Escherichia coli
Marse-g0162_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0163_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Klebsiella pneumoniae
