id,antimicrobial,Bacteria,Ref,,
amino-g0034_aac6-Ie,"Amikacin, Gentamicin, Dibekacin, Netilmicin, Sisomicin, Tobramycin","CARD: S. aureus, E. faecalis, E. faecium and Staphylococcus warneri","GU565967, M13771, AP003367",aac6-,
amino-g0035_aac6-I30,Gentamicin,,AY289608,aac6-,
amino-g0036_aac6-Ia_a,Gentamicin,,"M18967, AF047479",aac6-,
amino-g0039_aac6-Iaa,Gentamicin,,NC_003197,aac6-,
amino-g0040_aac6-Iad,Gentamicin,,AB119105,aac6-,
amino-g0041_aac6-Iae,Gentamicin,,AB104852,aac6-,
amino-g0042_aac6-Iaf,Gentamicin,,AB462903,aac6-,
amino-g0043_aac6-Iai,Gentamicin,,EU886977,aac6-,
amino-g0044_aac6-Ib_a,Gentamicin,,"M21682,AF479774",aac6-,
amino-g0045_aac6-Ib_a,Gentamicin,,L25617,aac6-,
amino-g0047_aac6-Ib_c,Gentamicin,,M23634,aac6-,
amino-g0049_aac6-Ib11,Gentamicin,,AY136758,aac6-,
amino-g0050_aac6-Ib3,Gentamicin,,X60321,aac6-,
amino-g0051_aac6-Ib4,Gentamicin,,S49888,aac6-,
amino-g0054_aac6-Ib9,Gentamicin,,AF043381,aac6-,
amino-g0055_aac6-Ib-Hangzhou,Gentamicin,,FJ503047,aac6-,
amino-g0056_aac6-Ib-Suzhou,Gentamicin,,EU085533,aac6-,
amino-g0057_aac6-Ic,Gentamicin,,M94066,aac6-,
amino-g0059_aac6-If,Gentamicin,,X55353,aac6-,
amino-g0060_aac6-Ig,Gentamicin,,L09246,aac6-,
amino-g0061_aac6-Ih,Gentamicin,,L29044,aac6-,
amino-g0062_aac6-Ii,Gentamicin,,L12710,aac6-,
amino-g0063_aac6-IIa,Gentamicin,,M29695,aac6-,
amino-g0064_aac6-IIb,Gentamicin,,L06163,aac6-,
amino-g0065_aac6-IIc,Gentamicin,,NC_012555,aac6-,
amino-g0066_aac6-Iid,"Amikacin, Tobramycin",,AJ584700,aac6-,
amino-g0067_aac6-Iih,Gentamicin,,AJ584701,aac6-,
amino-g0068_aac6-Ij,Gentamicin,,L29045,aac6-,
amino-g0069_aac6-Ik,Gentamicin,,L29510,aac6-,
amino-g0070_aac6-Il,Gentamicin,,U13880,aac6-,
amino-g0071_aac6-Il,Gentamicin,,Z54241,aac6-,
amino-g0072_aac6-Im,"Amikacin, Tobramycin",,AF337947,aac6-,
amino-g0073_aac6-Iq,Gentamicin,,AF047556,aac6-,
amino-g0074_aac6-Ir,Gentamicin,,AF031326,aac6-,
amino-g0075_aac6-Is,Gentamicin,,AF031327,aac6-,
amino-g0076_aac6-Isa,Gentamicin,,AB116646,aac6-,
amino-g0077_aac6-It,Gentamicin,,AF031328,aac6-,
amino-g0078_aac6-Iu,Gentamicin,,AF031329,aac6-,
amino-g0079_aac6-Iv,Gentamicin,,AF031330,aac6-,
amino-g0080_aac6-Iw,Gentamicin,,AF031331,aac6-,
amino-g0081_aac6-Ix,Gentamicin,,AF031332,aac6-,
amino-g0082_aac6-Iy,Gentamicin,,AF144881,aac6-,
amino-g0083_aac6-Iz,Gentamicin,,AF140221,aac6-,
amino-g0084_aac6-sk,"Amikacin, Kanamycin, Tobramycin",,AB164230,aac6-,
amino-g0085_aad6_a,streptomycin,CARD: from Streptococcus oralis,NC_008445,aad6_,
amino-g0085a_aad6_a,"Spectinomycin,Streptomycin",,NC_008445,_aad6,
amino-g0086_aad6_b,streptomycin,C. fetus subsp. fetus and B. subtilis,FN594949,aad6_,
amino-g0088_aadA10,"Spectinomycin,Streptomycin",,U37105,aadA1,
amino-g0089_aadA11_a,"Spectinomycin,Streptomycin",,AJ567827,aadA1,
amino-g0090_aadA11_b,"Spectinomycin,Streptomycin",,AY758206,aadA1,
amino-g0091_aadA12,"Spectinomycin,Streptomycin",,FJ381668,aadA1,
amino-g0092_aadA13,"Spectinomycin,Streptomycin",,NC_010643,aadA1,
amino-g0093_aadA14,"Spectinomycin,Streptomycin",,AJ884726,aadA1,
amino-g0094_aadA15,"Spectinomycin,Streptomycin",,DQ393783,aadA1,
amino-g0095_aadA16,"Spectinomycin,Streptomycin",,EU675686,aadA1,
amino-g0096_aadA17,"Spectinomycin,Streptomycin",,FJ460181,aadA1,
amino-g0097_aadA1b,"Spectinomycin,Streptomycin",,JX646702,aadA1,
amino-g0098_aadA2,"Spectinomycin,Streptomycin",,X68227,aadA2,
amino-g0099_aadA21,"Spectinomycin,Streptomycin",,AY171244,aadA2,
amino-g0101_aadA22_b,"Spectinomycin,Streptomycin",,AM261837,aadA2,
amino-g0102_aadA23,"Spectinomycin,Streptomycin",,AJ809407,aadA2,
amino-g0103_aadA24,"Spectinomycin,Streptomycin",,DQ677333,aadA2,
amino-g0104_aadA25,"Spectinomycin,Streptomycin",Pasteurella multocida,CP003022,aadA2,
amino-g0106_aadA3,"Spectinomycin,Streptomycin",,AF047479,aadA3,
amino-g0107_aadA4,"Spectinomycin,Streptomycin",,Z50802,aadA4,
amino-g0108_aadA5,"Spectinomycin,Streptomycin",,AF137361,aadA5,
amino-g0109_aadA6,"Spectinomycin,Streptomycin",,AM087411,aadA6,
amino-g0110_aadA6_aadA10_a,"Spectinomycin,Streptomycin",,AM087405,aadA6,
amino-g0112_aadA7,"Spectinomycin,Streptomycin",,AB114632,aadA7,
amino-g0113_aadA8,"Spectinomycin,Streptomycin",,AY139603,aadA8,
amino-g0114_aadA9,"Spectinomycin,Streptomycin",,NC_003227,aadA9,
amino-g0115_aadK,Streptomycin,,M26879,aadK,
amino-g0116_ant2-Ia,Gentamicin,,X04555,ant2-,
amino-g0117_ant3-1a,Streptomycin,,X12870,ant3-,
amino-g0118_ant3-Ia,Streptomycin,,X02340,ant3-,
amino-g0119_ant3-II-aac6-IId,"Gentamicin, Streptomycin, Tobramycin, Spectinomycin",,AF453998,ant3-,
amino-g0121_ant4-Ia_b,Gentamicin,,M19465,ant4-,
amino-g0122_ant4-IIa,Gentamicin,,M98270,ant4-,
amino-g0123_ant4-IIb,Gentamicin,,AY114142,ant4-,
